Barcode #,Manufacturer,Model,Serial #,Location,Room
126130,SMART Technologies,SB685,SB685-R2-671319,Downtown Campus,-
-,SMART Technologies,SB685,SB685-R2-671325,Downtown Campus,CO135
116821,HP,TBA-E504,5CV720002S,East Campus,L116
70438,Dell,DIMENSION 2400,4L3F741,Maintenance and Security,-
116801,HP,EliteBook 840 G4,5CG804DWPB,East Campus,L116
-,Sharp,LC-60LE661U,-,El Pueblo,10
142924,Apple,Mac Pro,F5K600QF694,West Campus,CG45
142925,Apple,Mac Pro,F5K600PF694,West Campus,CG45
143585,Sharp,PN-LE701,707418402M0027313,West Campus,B101
142921,Apple,iPad Pro 9.7,DMPS39S2H1MJ,District Office,C233
142923,Apple,iPad Pro 9.7,DMPS3964H1MJ,District Office,B229
138713,NEC,V552 ,38002663,District Office,C101
65513,Califone,PA300,HL990627,East Campus,E536
146932,Microsoft,Surface Pro 6,26157792253,29th St,A018
146893,Apple,iMac,C02Z612NJV3X,West Campus,CG26
146894,Apple,iMac,C02Z612TJV3X,West Campus,CG26
146895,Apple,iMac,C02Z612PJV3X,West Campus,CG26
146896,Apple,iMac,C02Z6130JV3X,West Campus,CG26
146897,Apple,iMac,C02Z612ZJV3X,West Campus,CG26
146898,Apple,iMac,C02Z612WJV3X,West Campus,CG26
146899,Apple,iMac,C02Z612EJV3X,West Campus,CG26
146900,Apple,iMac,C02Z612KJV3X,West Campus,CG26
146901,Apple,iMac,C02Z6137JV3X,West Campus,CG26
146902,Apple,iMac,C02Z6135JV3X,West Campus,CG26
146903,Apple,iMac,C02Z6136JV3X,West Campus,CG26
146904,Apple,iMac,C02Z612SJV3X,West Campus,CG26
146905,Apple,iMac,C02Z6133JV3X,West Campus,CG26
146906,Apple,iMac,C02Z612XJV3X,West Campus,CG26
106609,HP,dc5800 SFF,SMXL8430K6F,Downtown Campus,ST116
146907,Apple,iMac,C02Z612VJV3X,West Campus,CG26
106616,HP,dc5800 SFF,SMXL8430K5F,Downtown Campus,ST116
146908,Apple,iMac,C02Z6132JV3X,West Campus,CG26
146909,Apple,iMac,C02Z612GJV3X,West Campus,CG26
